,preyID,preyPhylum,preyClass,preyOrder,preyFamily,preyGenus,preyspecies
Taricha torosa,Taricha torosa,Chordata,Amphibia,Caudata,Salamandridae,Taricha,Taricha torosa
Chalarodon madagascariensis,Chalarodon madagascariensis,Chordata,Reptilia,Squamata,Opluridae,Chalarodon,Chalarodon madagascariensis
Anura,Anura,Chordata,Amphibia,Anura,NA,NA,NA
Pelophylax,Pelophylax,Chordata,Amphibia,Anura,Ranidae,Pelophylax,NA
Himantopus himantopus,Himantopus himantopus,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,Himantopus himantopus
Pelophylax nigromaculatus,Pelophylax nigromaculatus,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax nigromaculatus
Paroedura bastardi,Paroedura bastardi,Chordata,Reptilia,Squamata,Gekkonidae,Paroedura,Paroedura bastardi
Oplurus,Oplurus,Chordata,Reptilia,Squamata,Opluridae,Oplurus,NA
Boophis tephraeomystax,Boophis tephraeomystax,Chordata,Amphibia,Anura,Mantellidae,Boophis,Boophis tephraeomystax
Oligochaeta,Oligochaeta,Annelida,Clitellata,NA,NA,NA,NA
Anaxyrus,Anaxyrus,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,NA
Lithobates pipiens,Lithobates pipiens,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates pipiens
Sylvilagus,Sylvilagus,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,NA
Pelophylax perezi,Pelophylax perezi,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax perezi
Rodentia,Rodentia,Chordata,Mammalia,Rodentia,NA,NA,NA
Holcosus quadrilineatus,Holcosus quadrilineatus,Chordata,Reptilia,Squamata,Teiidae,Holcosus,Holcosus quadrilineatus
Smilisca baudinii,Smilisca baudinii,Chordata,Amphibia,Anura,Hylidae,Smilisca,Smilisca baudinii
Oncorhynchus mykiss,Oncorhynchus mykiss,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss
Gekko gecko,Gekko gecko,Chordata,Reptilia,Squamata,Gekkonidae,Gekko,Gekko gecko
Coelognathus radiatus,Coelognathus radiatus,Chordata,Reptilia,Squamata,Colubridae,Coelognathus,Coelognathus radiatus
Sceloporus occidentalis,Sceloporus occidentalis,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus occidentalis
Pleurodema brachyops,Pleurodema brachyops,Chordata,Amphibia,Anura,Leptodactylidae,Pleurodema,Pleurodema brachyops
Craugastor fitzingeri,Craugastor fitzingeri,Chordata,Amphibia,Anura,Craugastoridae,Craugastor,Craugastor fitzingeri
Gekkonidae,Gekkonidae,Chordata,Reptilia,Squamata,Gekkonidae,NA,NA
Passer domesticus,Passer domesticus,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer domesticus
Lumbricidae,Lumbricidae,Annelida,Clitellata,Opisthopora,Lumbricidae,NA,NA
Holcosus festivus,Holcosus festivus,Chordata,Reptilia,Squamata,Teiidae,Holcosus,Holcosus festivus
Coleonyx variegatus variegatus,Coleonyx variegatus variegatus,Chordata,Reptilia,Squamata,Eublepharidae,Coleonyx,Coleonyx variegatus
Anaxyrus woodhousii,Anaxyrus woodhousii,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus woodhousii
Phyllodactylus cleofasensis,Phyllodactylus cleofasensis,Chordata,Reptilia,Squamata,Phyllodactylidae,Phyllodactylus,Phyllodactylus cleofasensis
Cottus,Cottus,Chordata,Teleostei,Scorpaeniformes,Cottidae,Cottus,NA
Rana dybowskii,Rana dybowskii,Chordata,Amphibia,Anura,Ranidae,Rana,Rana dybowskii
Oligodon,Oligodon,Chordata,Reptilia,Squamata,Colubridae,Oligodon,NA
Elgaria multicarinata multicarinata,Elgaria multicarinata multicarinata,Chordata,Reptilia,Squamata,Anguidae,Elgaria,Elgaria multicarinata
Mochlus sundevallii,Mochlus sundevallii,Chordata,Reptilia,Squamata,Scincidae,Mochlus,Mochlus sundevallii
Incilius nebulifer,Incilius nebulifer,Chordata,Amphibia,Anura,Bufonidae,Incilius,Incilius nebulifer
Hemidactylus,Hemidactylus,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,NA
